,Advanced Playmaker,Anchor Man,Attacking Fullback,Balanced Fullback,Ball Playing CB,Ball Winning Midfielder,Box to Box Midfielder,Complete Forward,Conservative,Creative Winger,Deep Playmaker,Defensive Fullback,Defensive Winger,Direct Winger,Enforcer,False 10,Holding Midfielder,Libero,Playmaker,Poacher,Positional Midfielder,Second Striker,Shot Stopper,Stopper,Sweeper,Sweeper Keeper,Target Man,Wide Playmaker,Wide Supporter
Advanced Playmaker,3.4386567953463776,3.2250412978101575,3.4021653184112886,3.093898888300688,3.0887393677796116,3.1697772426249244,2.8957298907646476,3.04814292858117,3.840067815767166,3.550181065700983,2.9657794676806084,3.1685707624154813,3.1588894388696396,3.31545518701482,3.0805115840234825,3.00161377084454,3.078433398780614,3.9697542533081287,3.4345060784155863,3.3842144452717795,3.57057630354373,0.0,3.0080730080730085,3.0661588876096006,3.3859899351435723,3.0039096437880106,3.155473124799372,2.8177641653905057,3.479444595698339
Anchor Man,6.004066245923164,5.654418667024273,5.110673105351336,5.559532084177524,5.068780457713897,5.205097763671166,5.8725953700684705,5.45445105911671,5.524517443951565,5.147700517972061,6.011532916866892,5.737884693989453,5.638018824255516,5.585958054574156,5.27416455671737,5.492797573919636,6.231545095746236,6.131119521425955,5.6305778418822685,5.947497949138639,5.607811877241929,5.769131887908133,5.769695992258689,5.948021264028352,5.3062090710647585,5.3406776522866135,5.641807885993689,5.671772428884027,5.767296555928071
Attacking Fullback,5.652028465421812,6.210505568148221,5.609801861302913,5.721396978392175,6.061842456608812,6.307531380753138,5.889709890376112,5.80038857553686,5.604016883301279,5.834649638716182,6.043272459781879,6.3625677043033155,6.397460765297126,6.046927374301677,6.153130956254939,5.646666096036976,5.980618366405168,5.232097456675441,5.57813624182768,5.89415069235697,5.777877496073593,5.924009154270259,6.228362985649885,6.176262109159644,6.043195348193272,5.956285226134601,5.88548783820716,5.515554240720934,6.258519961051606
Balanced Fullback,6.622551614610906,6.350138274745263,5.66147212225939,6.371970590904965,6.248654467168999,6.456048092849779,6.0613526359394765,6.387035187427632,5.803340795591527,6.324617114620124,5.964081114833389,6.321696635256155,6.385322067838888,6.355849355244169,6.482275726833985,6.319340939269939,6.4652190622598,5.006435006435006,6.392799857422919,6.234527687296417,6.358123341228846,6.10682638660978,6.250123043606654,6.415838253980119,6.181213918754303,6.722780004966829,6.251345986689326,6.616038882138517,6.806091582351101
Ball Playing CB,8.63780627142313,8.63672814755413,8.253564753004005,8.16377431804458,8.125461254612546,8.567566285632974,8.768551036592275,8.303054788093625,8.36672704472621,8.002129851085002,8.131888925682388,8.908403047903235,8.77901294893721,8.38152459631994,8.704196138914003,8.49628810614437,8.423846203637776,7.609618884782968,8.150432164708167,8.766028455998596,8.25775327360441,8.56483356280878,8.751915729488204,8.474969308416314,8.34810760810915,8.213047647145597,8.470255513875523,8.711915628469225,8.741007194244604
Ball Winning Midfielder,5.448901264298615,5.274877038257457,5.412382100560244,5.082065953922602,5.404354219039036,5.497060612203527,5.299395600972023,5.420200181983621,5.304149256632009,4.996809189534142,5.29115597823323,5.727266784336798,5.846148849445428,5.635546319094626,5.190539159704274,5.77348850411581,6.081558890547655,5.521161638901395,7.147210055227576,5.528753587386929,4.82499573160321,5.2939015429831,5.711917235890974,5.8722627283906155,5.312419229775136,5.207725947521865,5.617401982282256,5.637154902760778,5.4119612186353905
Box to Box Midfielder,5.594836146971201,5.058281708509944,4.792713948276907,4.880085466358523,4.932819757562026,5.19845473238208,4.704390414553087,4.727623469962613,4.513228960142203,5.671276595744681,4.885593504663491,5.046658153600045,5.329845670939053,4.716361626735152,5.184029185245238,6.077988132240746,5.519602678907367,3.940422583997229,4.9564792971609855,5.425477050025787,4.578674527342955,4.650376666022793,5.262647094504429,5.483170895316261,4.823017966045821,4.9057759351738435,5.008400320504537,4.713390993140472,4.246739876458476
Complete Forward,2.066190844206028,2.1462688633531775,1.8325530439843543,2.147042965608068,1.936480216858677,1.9403093721565057,1.9558871229322088,2.1731820092475833,2.0749671395549107,1.9695167694362616,1.9522776572668112,2.0863395350028604,1.9025894750369465,1.9457457025813913,2.2073359914870703,2.2775399864834425,2.4039109912339853,1.78266104756171,1.9353130653488066,2.24573055028463,1.964003164556962,1.7110505347032923,2.0172562004520995,2.1248252725747836,1.968538827960563,1.8969510251779453,2.0206178434289273,2.1314841978930525,2.107819329771734
Conservative,0.05721955354619949,0.07193382088478599,0.06737831244433545,0.06027208541415533,0.027588128744600808,0.06996404625400836,0.04307103302112532,0.06390790010424693,0.0,0.0851543140346925,0.038159111933395,0.044857511434267625,0.07502500833611203,0.058339275296557976,0.06681204472695217,0.029811195760185493,0.026423957721667644,0.04763753131726596,0.08832372838887496,0.058985450255603616,0.06440498277232971,0.05193306405077899,0.0,0.09836065573770492,0.08245270155104824,0.0,0.050165226738862125,0.059068960667573014,0.06301050175029171
Creative Winger,2.8110450077599585,2.619055093391932,2.526634179129558,2.695481398184957,2.773170859447286,2.6925335035098916,2.948936170212766,2.6380985490275006,2.518134715025907,2.5681938559322033,2.8972280869032216,2.898624691092726,2.9614958009824113,2.6901396236232764,2.7553435257879118,3.4465270121278944,2.952321302747984,2.1740762991889455,2.416134727692517,2.8213669621081436,2.642891741341729,2.8096597145993414,2.7161327346993893,2.7120436147364946,2.9204414429253833,2.8659906823787336,2.9329229655109987,2.6374331550802137,2.320596458527493
Deep Playmaker,4.966364434045043,3.8664103796251803,4.579588703745163,4.649235831664916,4.813141586640806,5.089762498092865,5.269073340938066,4.742407809110629,4.395235892691952,4.544030511475857,5.075284090909091,5.037701007924905,4.9602272727272725,4.909874387427477,4.660124029140827,4.76966690290574,4.812301792167564,4.531978520209653,3.8666480680708606,5.175226586102719,4.142956280360861,4.859949480774628,5.026986719693204,4.71178876905913,4.994118868055075,4.839311631764462,4.928670041417395,5.3785541368016325,5.273061037173015
Defensive Fullback,6.800885987409653,7.247948797192619,6.991994524135468,6.866743049547548,6.926839665370065,7.181800353010394,7.090074793371034,7.155798802926937,6.71279465228099,7.398866444611583,6.841578825882896,7.397420432402338,7.113356865037433,6.830679611650485,7.099035933391761,7.278258295787154,7.339282092881769,6.075632166451515,7.440652961125056,7.162267080745342,7.079149075706029,6.7483276349041175,7.199845943170147,7.383245730955913,6.955425277568533,7.246261849046126,7.277459169679591,7.674409489966556,7.5640642733409
Defensive Winger,3.5112271070512535,3.7057773271320564,3.650149885381767,3.8147517082681937,3.4797214756902024,3.84530440572273,3.9926759089720116,3.830238385915312,3.4811603867955987,3.945491998098558,3.917045454545455,3.7190584320690663,3.939594091509547,3.8401960232073455,3.9461280853350975,3.799986042291856,3.515935626380562,3.4847560975609757,3.4698698520235336,3.9234449760765546,4.012140756900313,4.124076632034112,3.900188591243688,4.073339940535183,3.5169266298869113,3.6736157216837073,3.9241852487135507,4.481065918653576,3.8225806451612905
Direct Winger,2.9386026817219477,3.1278658949109226,2.660335195530726,2.896513197709604,2.9360683439729627,3.114594863222571,2.791196645102565,2.988298477037966,2.6486030984637328,2.9190876766975977,2.831352447473667,3.221359223300971,3.0544133385906607,2.7458068247541934,3.3204686423156446,3.706882973696645,3.226639783252473,2.3649096243020726,2.66535994297933,3.492084877062984,2.9053026915854425,3.199065248139721,3.1575977049334525,3.209568535368359,2.8869879914459617,3.049724598319669,3.3186282670218077,3.6656200941915227,2.9081632653061225
Enforcer,9.024530873257154,9.092367459749898,9.178094928176282,8.774119606385932,8.821464659894698,9.066538438420388,8.901499797324686,9.02780804882114,9.115668352433536,9.187295743961535,8.675416942621471,9.03323670194836,9.304378385082897,8.822191592005513,8.922264106141107,9.233929875821769,8.789898281304806,9.377278250303766,9.384148941209911,9.073577501635055,9.095402867029165,9.233140446703802,9.042497910124037,9.023152047715529,8.907669021190717,8.938263665594855,8.930823685263638,9.116415672061489,9.083866252512333
False 10,4.454007530930608,3.3605003790750567,3.065993323632629,3.631608899487819,3.672405623124309,3.3429301325980294,3.4077423000847697,3.581887812570399,3.0407419675389202,3.459757442116869,3.2459248759744863,3.2765481632518827,3.5675902016888825,3.621830209481808,3.010409057706355,3.594630427577063,2.55802936996684,3.690851735015773,3.3869711912795224,3.4271243669105234,3.5824817518248175,4.204152249134948,3.3435704378838915,3.872093023255814,3.3272256951929293,3.571638544300076,3.5278914494938616,3.108677337826453,3.301217038539554
Holding Midfielder,4.147979745788984,4.6265165911416455,4.007844946931241,4.219830899308224,3.955595831445401,4.264162803488646,3.9754684325381895,4.345920431557653,3.7522019964768054,4.636342284506381,4.015782874843278,4.4879334820523225,4.1293783527926795,4.763404952428958,4.4721150473518065,5.499763145428707,3.918880522801534,3.0791592128801435,4.408645072992701,4.604377654361319,3.7586738627602156,5.008468424872974,4.467130356742203,4.430769230769231,4.3248498316030695,3.6587537091988134,4.3477876887750595,4.044310285909557,4.119656451298067
Libero,10.207939508506616,7.889146624343791,7.0408135763761,7.45945945945946,7.574871766587613,7.638451148131472,6.783512296501559,6.992474413004214,7.094816330851477,7.389606488434965,7.211807453615872,7.503986635279824,8.478658536585366,7.4893536481499,8.50243013365735,10.694006309148264,6.124776386404293,6.626899300941706,7.158697401098324,7.6096345514950166,7.007367363536335,7.070643745669318,13.008565310492505,8.727001491795127,6.828697328559626,6.771296500110059,6.849397590361446,6.4813404417364815,9.12054586808188
Playmaker,4.767732066661299,3.8700081132245563,3.5745492841725497,3.7747282124398502,3.719044381858794,4.724814321081699,3.9900756528105426,3.710453161540838,3.4746930593836134,3.7097650414233327,3.3895940856465336,4.555783342593834,4.147798181494028,3.816821097647897,4.327538016959591,4.508175447703088,4.028854927007299,3.266116338451852,3.5711582134746407,4.591923990498812,3.384447900466563,3.8526456054633282,4.633367399080225,4.814601769911505,4.033600649680236,3.6438662070974317,4.123940972912772,4.591310985306278,4.660493827160494
Poacher,2.3622486969471335,2.0385561936013126,2.1022027300054207,2.279315960912052,2.300193219743545,2.3180876957169323,1.990716864363074,2.1603415559772294,2.1116791191506095,2.3234786746772946,2.419939577039275,2.190811107051516,2.2727272727272725,2.176490400808353,2.301504251144539,2.312886888013506,2.1287161058477624,1.8837209302325582,2.2403800475059383,2.3390557939914163,2.353387608665655,2.264670768665626,2.2006493936783516,2.257413758321565,2.1225983531564503,2.3030397022332503,2.392520987026202,2.3297654292871783,2.4960482827992525
Positional Midfielder,5.66459849659945,5.559984057393384,5.464213596589635,5.482292172027054,5.216402481047553,5.873740822946901,5.644439926814393,5.543413765822785,5.181023058574079,5.876120125938483,5.699167244968772,5.9576997171783415,6.040975054538556,5.545023696682464,5.827978250123579,5.474452554744525,5.828835774865073,5.005262402525953,5.209642301710731,5.8865737546571,5.767023718439174,5.323383084577115,5.875224993571613,6.001848532377325,5.47404861777935,5.712588569731427,5.447856104651163,5.6409614421632455,5.778364116094987
Second Striker,0.0,1.982174993572714,2.029283262249038,1.974072858549393,1.9134202640317486,2.123438648052902,2.1469963299208037,1.8966240301950095,1.8931962440329435,2.078594950603732,1.9298344092057256,2.1540062434963576,2.1620323103717496,2.1087264005903696,2.4336163539018982,1.596020761245675,2.5260101621098476,2.0876365196159306,1.8138915107434348,2.3307925429332355,1.9900497512437811,2.3793103448275863,2.2342755815166373,2.2467490768983787,1.7947451156523693,1.9106442784229603,2.144639885904445,2.203023758099352,3.14543404735062
Shot Stopper,0.05967005967005967,0.07076042254656884,0.0743315323996008,0.0697657249729304,0.06993761737215878,0.07162278665694012,0.043673419871406036,0.05874112515521029,0.0,0.04557269689092935,0.06391591506285065,0.06624443683669975,0.06570275586559325,0.07830503691859098,0.04676803506472967,0.08024569050921339,0.08077181960960288,0.09635974304068523,0.06610884006131834,0.053674375455569544,0.031820519413731034,0.09387712527380829,0.0,0.08539619617931092,0.05628621355651615,0.0,0.08905160045515263,0.06149016711291663,0.08102177460192427
Stopper,8.752103445221858,9.029828706438275,9.11553910372529,8.737480379699528,9.141999727185922,9.208038852799065,8.856883557589867,8.652781660609449,8.183606557377049,9.066908970758302,8.89550018594273,9.58705329074768,8.76920218037661,9.509832697387731,9.301796161813918,8.80813953488372,9.595497185741088,6.757831924415713,10.123008849557523,9.970748436554366,9.321644633654493,9.817787766896773,9.387888499978915,9.047132295283971,8.95185708518369,8.998656415615438,9.294324925816024,9.257887470958618,9.357269279393174
Sweeper,9.877014989639118,8.924326946398253,9.21120033227191,8.880355913352046,9.194480844831572,9.213136469371932,8.748557771551013,8.773678963110667,8.99884949718766,9.048550485916653,8.32560714038608,9.062981036910884,8.930882164262542,9.318731934293705,8.514127144298689,8.74973054537616,9.493420367348357,8.74345910217571,9.129276215612629,9.021043000914913,9.551725880628695,9.325398607680215,9.1514761335418,9.006358498183287,9.024633821571237,8.845936513212564,9.207235565521108,8.684755116118648,9.334781428183545
Sweeper Keeper,0.03909643788010426,0.052768005924828734,0.051255866931128616,0.06705218717848653,0.053105177754831104,0.06013119533527697,0.06784132667483275,0.04971847445022841,0.0,0.07152644560153466,0.07464233879328219,0.059493118629278544,0.08126410835214447,0.04797319592862401,0.05980707395498393,0.11640895996237285,0.044510385756676554,0.06735637244111821,0.04806058546531385,0.06281017369727047,0.0649157792014935,0.08654486278570901,0.0,0.0906919459580503,0.0508559082599302,0.0,0.08386185337701764,0.04040504813687834,0.05708848715509039
Target Man,2.413952990690873,2.4560670330359193,2.321672588138836,2.5535475668452667,2.418052909637253,2.611349881589334,2.5891080151981183,2.7086864773238317,2.2108532069912807,2.4441024712591655,2.581684307409112,2.6358932801396335,2.4792452830188676,2.4546362576993506,2.7061973036002596,2.907602842989447,2.9051488121522566,1.9698795180722892,2.591782347559763,2.8504197405240395,2.455486918604651,2.0162823864986925,2.7101370405184784,2.8472737388724036,2.462377646500798,2.553728696384021,2.6968690702087286,2.660358890701468,3.0731960546807406
Wide Playmaker,3.889739663093415,4.077899343544858,3.334319459299547,3.96415552855407,3.494202541013939,3.790289677682579,4.214136594094841,3.9173223096412855,4.333130186114106,2.92620320855615,3.3963070204585373,4.021216555183947,3.613253856942497,3.6577708006279437,3.8594326063863025,4.137682031532074,3.3318145574666818,3.0083777608530085,3.354748425672667,3.9079936233204284,3.9246369554331495,3.0453563714902807,3.877204320930662,4.195595811306778,3.973327201655553,3.0528258592308077,4.071778140293638,3.995064065722303,3.860638404994462
Wide Supporter,3.577457119520828,3.73742761353246,3.264362220058423,3.5063106289767396,3.6293070806512686,3.918442935473329,3.4437199725463286,3.98251578436134,4.242707117852976,3.4109972041006524,3.3042680128499313,3.868048503673616,3.629032258064516,3.6989795918367347,3.571715695231135,3.255578093306288,3.6277571735311342,3.775587566338135,4.197530864197531,3.5694783733295012,3.7361477572559365,2.94250281848929,3.747257075338997,3.7911504424778757,3.8121096931849037,3.5537583254043765,3.6390378958297283,3.819857013392408,3.816254416961131
