,Advanced Playmaker,Anchor Man,Attacking Fullback,Balanced Fullback,Ball Playing CB,Ball Winning Midfielder,Box to Box Midfielder,Complete Forward,Conservative,Creative Winger,Deep Playmaker,Defensive Fullback,Defensive Winger,Direct Winger,Enforcer,False 10,Holding Midfielder,Libero,Playmaker,Poacher,Positional Midfielder,Second Striker,Shot Stopper,Stopper,Sweeper,Sweeper Keeper,Target Man,Wide Playmaker,Wide Supporter
Advanced Playmaker,20.25118984664199,21.729001651912405,21.494130527340186,21.550092641609318,21.266979814650245,21.169099939795302,24.428997020854023,22.58080647361004,21.768861260243007,21.999482669425763,21.602807838549282,21.80228491489858,20.42748503802367,21.565278757939307,23.733619876297308,19.002151694459386,22.804588198821946,20.359168241965975,25.4834554383705,22.550260610573343,21.34291850614485,0.0,21.523341523341525,20.384376937383756,22.1227697193143,21.97871416159861,21.03541748403895,22.480857580398162,21.881295943370542
Anchor Man,19.10246092591808,17.989137722944886,19.39962550507539,17.952350670669485,21.157855776941584,19.42698616528966,18.641180306488426,18.26976325626471,19.084042680733724,19.75168733322869,18.051898125901012,18.787422612579384,18.9454890118368,19.247538149289635,18.74659347880709,19.20773313115997,17.409735418798423,18.129654498840193,18.680699540250608,18.240360951599673,19.555599840573933,18.38717970691576,18.77691315216515,17.166272888363853,18.847319912684938,18.252175523051285,18.80978749190296,18.026258205689278,17.58305394696739
Attacking Fullback,11.419013442004745,12.426332906277718,12.421945361753227,12.089126333645112,11.995834445927905,12.168285937167576,12.558900127187934,12.060648595907118,12.358111858324834,12.019156444295076,11.546838519845204,11.955091958811975,12.338211955563391,12.053631284916202,12.36344195992748,11.062227167679534,11.727618827872634,12.208227398909361,12.273025869889368,12.533385896614595,11.846533542741755,12.203786539061687,11.801679342028287,10.946680318185399,12.839194240620241,11.921407670705603,12.226018037715223,11.139658193568941,10.530671859785784
Balanced Fullback,15.835759661196398,14.60758070956388,16.630574359136954,15.249160388490516,16.627635275276326,14.937625241796301,15.639035451096673,14.884520537048004,15.254003788531083,15.634077194760767,15.539080619263784,15.02981270605841,14.595021869346027,14.962990549788186,15.49895686899528,15.599577247229073,16.193312836279784,16.7001287001287,16.066654785243273,15.547231270358306,15.325761251105847,14.748933377092223,14.849025494635299,13.957601464982435,15.813516233250358,15.841877461240998,15.64354380456922,14.193499392466585,14.255241472827787
Ball Playing CB,9.563285514789895,9.895132934427242,10.030013351134846,10.549108666544146,11.305745914602003,10.445856851491722,9.994108983799705,10.101131209925455,9.886582137383307,10.057261570154152,10.062680353848338,10.027708211221826,9.816149523576838,10.055858054825384,11.0758921448705,10.884536408150371,10.311347012751634,10.657437537918481,10.001213945809459,10.714473915334622,10.321157822191593,10.733376528711428,10.690741899971938,11.675078434047196,9.601479996916673,10.013645080395339,10.36863915784512,11.104292586653509,11.177584248390762
Ball Winning Midfielder,23.295830824804337,23.424030237685653,24.9732288490178,22.37985474847393,24.09049945453683,23.25988242448814,25.515608449124557,23.57852593266606,21.614517539597706,21.99055520102106,23.238061333468952,23.79093939988233,24.509979051299954,23.80266100431453,23.18296567890846,24.36762499493127,24.312092401980042,22.378433138226022,25.886497809940963,23.370508954844333,22.991719310227083,22.696546656869952,24.16910935738444,23.67573811623545,24.307153011113982,23.407434402332363,23.986843259363216,23.769889840881273,23.863611605359672
Box to Box Midfielder,25.072492552135056,23.490381480273882,23.246774877354493,23.935376967688484,23.60983346550357,24.67443454420836,22.40685674304705,22.745446164877,22.778423463457987,22.876595744680852,23.141649332349193,22.875405189228633,24.177347632749154,24.231331881278244,24.14896635589785,25.58349816332297,22.769207615320944,21.0831312781434,23.944114536728218,25.10572460030944,22.86135393372637,20.366042109329726,23.94613611549193,23.99597521998185,22.676157903411898,22.446998963535286,22.790198764506705,23.35222189084402,25.44955387783116
Complete Forward,14.815202073009957,16.008237574415062,14.634234018333233,14.748490767830152,15.116509409372881,14.822565969062785,16.61505369001485,16.595208070617907,15.138013869374065,13.562658957422281,14.65184381778742,15.857717364390066,14.78892244425882,14.463435190811266,14.627495224297748,15.496733498535706,16.88469318948078,14.991420830824806,14.186559590521997,15.75426944971537,14.29835838607595,14.52505766408052,14.61221305995097,15.295219457646072,15.695136811786863,15.426112822692021,16.778288995744976,15.71729563941859,17.16367168528412
Conservative,0.09536592257699916,0.1186908044598969,0.09525899345578459,0.1084897537454796,0.08527239793785704,0.11369157516276358,0.09844807547685787,0.10741966187735122,0.0,0.11353908537959,0.10060129509713228,0.14512724287557172,0.13504501500500166,0.09334284047449277,0.13779984224933883,0.20867837032129846,0.13211978860833823,0.10639048660856064,0.14282134803307442,0.1533621706645694,0.10734163795388285,0.13219325394743744,0.0,0.11147540983606558,0.11696778592125448,0.0,0.07524784010829319,0.08860344100135951,0.12602100350058343
Creative Winger,15.603336782203828,16.954638204363523,15.914972273567468,17.143603794801944,16.04825334753234,17.023611997447354,16.496808510638296,15.141895229905039,14.709394007659382,15.093352754237287,16.327044881836137,16.24825400236381,17.673902709554746,16.697597779897666,16.51177641711431,18.529217199558985,17.319345494402256,14.373685791528988,15.409479831590383,17.934685622509072,15.559457495761686,15.86608122941822,17.01380683928029,17.319015364282176,17.78393180695108,17.69909564264182,17.950574816692317,17.0951871657754,19.99068033550792
