,Advanced Playmaker,Anchor Man,Attacking Fullback,Balanced Fullback,Ball Playing CB,Ball Winning Midfielder,Box to Box Midfielder,Complete Forward,Conservative,Creative Winger,Deep Playmaker,Defensive Fullback,Defensive Winger,Direct Winger,Enforcer,False 10,Holding Midfielder,Libero,Playmaker,Poacher,Positional Midfielder,Second Striker,Shot Stopper,Stopper,Sweeper,Sweeper Keeper,Target Man,Wide Playmaker,Wide Supporter
Advanced Playmaker,1.4132458474833345,1.1613894963297111,1.2937963040530553,1.215477229996154,1.2540648289323233,1.20483759350866,1.2118136727573603,1.2944431755140893,1.4880833737119326,1.4706137408160374,1.2139850778111947,1.1867510967001818,1.2294546923657625,1.1940997485318638,1.1680419776995772,1.335962177014815,1.0772262251330773,1.0777080914523811,1.3268535517575002,1.0354051109962956,1.3421627157719465,0.0,1.1381922078251563,1.1388854279105136,1.3265633408411766,1.1888281596923977,1.2367162527587594,1.2904246289243595,1.1067611924999998
Anchor Man,1.1613894963297111,1.1240429978968427,1.1881893886356567,1.1447864036762312,1.1969503372153192,1.0808701403056697,1.1042578749277265,1.1846766289240538,1.256056051958982,1.1790431316662648,1.2554289913417904,1.0799745939747112,1.1915196739872271,1.177374383690585,1.0649805691700793,1.230839465303448,0.969408459210811,1.3374197949606061,1.1449634806449285,1.0500843126843,1.1258587456515148,1.1897073540078948,1.099209195936238,1.1031106583645618,1.1226501361734793,1.0955700274934197,1.1120459960519478,1.1232998678113804,0.9777682958441986
Attacking Fullback,1.2937963040530553,1.1881893886356567,1.5988915496272897,1.3325383805443436,1.3327049748649271,1.2014987579236798,1.2092985235746672,1.5056238068920378,1.6412533854590132,1.6017040717074051,1.4712231281520525,1.1441665259024627,1.2204541326116083,1.5016361639334599,1.1342151597647698,1.2105574726915023,1.3077611274272323,1.7365430585184582,1.6965701801653523,1.1584934584894935,1.5176516113939147,1.4606415028514403,1.129920025885223,1.1638618391590605,1.3022336443241214,1.3263474312285002,1.261985195937469,1.3562137128219696,1.0615451170167698
Balanced Fullback,1.215477229996154,1.1447864036762312,1.3325383805443436,1.1973815148444162,1.2549834668772242,1.169628146071707,1.2336169427263588,1.3085089227327107,1.401406108797376,1.2340401561111525,1.4221744649454682,1.1438797880559874,1.2193552933105116,1.322475300672454,1.1588061222828692,1.2350341433765808,1.075140236773183,1.4722439920908459,1.3300690815326544,1.0721628802845684,1.2631160439920437,1.2723932375409002,1.1524358684962985,1.146537082963347,1.2947470659486389,1.1726112024981719,1.2104889068494877,1.2933876466687237,1.053886612915648
Ball Playing CB,1.2540648289323233,1.1969503372153192,1.3327049748649271,1.2549834668772242,1.2468916607181535,1.2160180088904933,1.2288688415090387,1.372792435230324,1.4796297445481659,1.3998256352525882,1.4568785084059535,1.2150251800986531,1.1604929776115374,1.316125456580947,1.1810812619238633,1.2642966430814038,1.0660494730934011,1.63665736753709,1.3667637431985964,1.1882120660110367,1.3297713046035569,1.2050404149342016,1.1188655809018926,1.1112311944702291,1.2356834443803484,1.2834810097075338,1.2512841249376738,1.366976624658008,1.2028840183823535
Ball Winning Midfielder,1.20483759350866,1.0808701403056697,1.2014987579236798,1.169628146071707,1.2160180088904933,1.1304859256191828,1.0696303069758142,1.2342683222609412,1.3533380639640002,1.1748783145239208,1.3196997437096156,1.121569792247715,1.1148148374210907,1.1666879609311671,1.1116030336078881,1.190368548331858,1.0752181289431946,1.4133194936477058,1.3029900699606967,0.9781992328312834,1.1809367277070948,1.15873119093742,1.1089381836158008,1.1412489760659843,1.1796207614666223,1.160596544486824,1.216553602560589,1.2500658689861193,1.1310922100822107
Box to Box Midfielder,1.2118136727573603,1.1042578749277265,1.2092985235746672,1.2336169427263588,1.2288688415090387,1.0696303069758142,1.1961490174782605,1.265344721958495,1.3174118906619037,1.2429519955494783,1.3038028173085325,1.1093560939815308,1.073387059454054,1.1564301866754134,1.1022942779400322,1.0428863017646466,1.1254442682606554,1.4409678084181317,1.158934954929618,1.0916987187340086,1.242467584750981,1.068071313066187,1.0922574758911237,1.0538521048673086,1.1672694923003277,1.1657491718382236,1.2013893791198458,1.2103784110146663,1.1179420364609751
Complete Forward,1.2944431755140893,1.1846766289240538,1.5056238068920378,1.3085089227327107,1.372792435230324,1.2342683222609412,1.265344721958495,1.316971771056609,1.5114500528853627,1.5688868962842553,1.4628254732119486,1.186080847139783,1.2089228804312295,1.4527662485162811,1.1952787436347403,1.339720924707104,1.2526193178865757,1.6984516915632604,1.5575428029778013,1.107621644985256,1.4287418287747105,1.3567712418179145,1.212447546663164,1.2649544203657925,1.2426736244139631,1.278872235192668,1.3390794882152681,1.3678161548015824,1.1802045154625502
Conservative,1.4880833737119326,1.256056051958982,1.6412533854590132,1.401406108797376,1.4796297445481659,1.3533380639640002,1.3174118906619037,1.5114500528853627,0.0,1.724460710690858,1.6779234464924835,1.3433622854098244,1.2524939634241619,1.6661922437616594,1.2776659919680171,1.2000345703780486,1.396221507349425,1.6886863707860238,1.6768321891181526,1.2664340215586531,1.560192491056696,1.5259293563532188,0.0,1.2528583997917195,1.4243356305265928,0.0,1.3749484481784768,1.3133189927377356,1.0806541771610167
Creative Winger,1.4706137408160374,1.1790431316662648,1.6017040717074051,1.2340401561111525,1.3998256352525882,1.1748783145239208,1.2429519955494783,1.5688868962842553,1.724460710690858,1.4671356008485434,1.4833301126524556,1.2684910908552414,1.215775355457251,1.4692690085886082,1.1029970080100608,1.1288978299686176,1.142798042640351,1.8729808480860943,1.6685785809012146,1.201073724945022,1.5457004349105106,1.4269243092425743,1.1480956701041312,1.1937881122916245,1.4253358092603596,1.1988087406423233,1.2579335055577168,1.317212722575806,0.9396112188325579
