,Advanced Playmaker,Anchor Man,Attacking Fullback,Balanced Fullback,Ball Playing CB,Ball Winning Midfielder,Box to Box Midfielder,Complete Forward,Conservative,Creative Winger,Deep Playmaker,Defensive Fullback,Defensive Winger,Direct Winger,Enforcer,False 10,Holding Midfielder,Libero,Playmaker,Poacher,Positional Midfielder,Second Striker,Shot Stopper,Stopper,Sweeper,Sweeper Keeper,Target Man,Wide Playmaker,Wide Supporter
Advanced Playmaker,5.72316234796404,5.935448345969758,5.780670275530685,6.226508734780307,5.297702170877238,5.98735701384708,5.600794438927507,6.239487202800381,5.944475840632947,5.785049146404552,6.23866627668909,5.942643972954069,5.260765873194438,5.983062808750883,6.024216374882062,6.051640667025283,6.38937687299783,5.500945179584121,5.514048788342324,6.2155621742367835,6.072664359861593,0.0,6.198666198666198,6.52820830750155,5.904895180171695,5.5125977410947,5.957841423832792,6.294027565084226,5.905254560304927
Anchor Man,5.26451776864755,4.972509051897546,5.183403961762098,5.069728922344312,4.9262846215532665,4.814769946454098,5.8799315291816105,5.041707046933407,5.002997242536866,5.257887301836446,5.120615088899568,5.231838256552384,4.983357947406705,5.243178230474329,5.24285355341232,4.8957543593631545,5.915801783365005,5.548773043584422,5.484539799873795,5.475799835931091,4.722997210043842,5.121261461993315,5.2271994194016616,5.305670407560544,5.067911714770798,5.28235511942233,5.299538207576739,5.207002188183807,5.506705272782688
Attacking Fullback,4.176753238854085,4.299990144870406,4.452491744220954,4.445853612137162,4.469959946595461,4.391177930643217,4.63463751438435,4.510129496649178,4.5073767635176125,4.573349016971937,4.519141586976684,4.3028688768525685,4.210897548933169,4.351955307262569,4.356840686160569,4.506547975691175,4.355676049838486,4.561813297877119,4.354399758088903,4.603557877100478,4.519183307157281,4.596900031207739,4.219863037269005,4.234071040403245,4.283192579260695,4.494609296753795,4.426072697458322,4.497644676057621,4.659201557935735
Balanced Fullback,5.511844891476971,4.981883790059007,5.370408535328714,5.225560497413088,5.600042006878627,5.509480731585836,5.621811363537261,5.2550447687317146,5.264336146030653,5.429449310251983,5.303982397367534,5.243178151378399,5.057352140385392,5.239979516782273,5.307343105038368,4.948646378146933,5.499615680245965,5.472329472329473,5.457137765104259,5.320846905537459,5.143260751690876,5.144404332129964,5.256792007087312,5.120057552881382,5.294608336422859,5.3721573775144575,5.480728065281976,5.361482381530984,5.3275268592886205
Ball Playing CB,4.113241081630062,4.5173030658195055,4.420934579439252,4.624169707789651,4.448603057459146,5.0329649480624195,4.7554095389146935,4.84178699890528,4.524453114114532,4.866011417398439,4.627938880741757,4.806202376511963,4.3959198631810406,4.661096507698085,4.841514651917247,4.307376401832254,4.555634668910609,4.437703380949754,4.529717393415558,4.794045318812577,4.407994486560992,4.679679274317648,4.773242385649837,4.963852134770154,4.481615663300702,4.714744062546099,4.700001963980596,5.120574811890958,4.867474441499432
Ball Winning Midfielder,6.0652468392534615,6.059893877353233,5.930962343096235,6.379947412924375,6.236778447090072,5.938576930873708,5.753629509626768,6.149590536851683,6.139345058789233,6.506190172303766,5.684788689416671,6.129306399947702,5.9572256775848915,5.814452551446836,6.1255033960449605,5.601962613032724,6.3149210340221575,5.409725348941918,6.375928394591506,6.264394957677916,6.215639405839166,6.058045554739162,6.191789906492473,6.370840527146034,5.875064616179891,6.155247813411079,6.378387860713972,6.631306949544404,6.1701586840480775
Box to Box Midfielder,6.637537239324727,6.298092598630583,6.1240990854581785,6.235991802206427,6.227710433896001,5.9218642906100065,6.092356130837851,6.124246717995118,5.909961030970124,5.948936170212766,5.879017647453533,6.099939660132187,6.111430813497254,5.93933877312181,6.417105796513985,6.306866346425544,5.939498833621793,6.128853481122273,6.27064182868299,5.992779783393502,6.179609676763571,5.841220784237976,6.151401188887541,6.473977035078721,5.915196967199605,6.610289267879017,6.660032567396418,6.2809424396063225,7.397048730267673
Complete Forward,3.5513933718234307,3.764536896026582,3.352362693324889,3.5041586748808964,3.627821508627431,3.605459508644222,3.725865100636769,3.8230348886086594,3.528531931287676,3.227636177337017,3.38882863340564,3.726978543191113,3.2268842768103836,3.3905015778435486,3.7292785804946216,3.3926560036044155,4.099797707349967,3.4718543046357615,3.270970304019768,4.269449715370019,3.272349683544304,3.05409939190606,3.6046992900124164,3.4268940452893486,3.5615376093940396,3.4210134919791777,4.022555090462518,3.772102947059608,3.9242350655658087
Conservative,4.119807855326363,4.52463733365304,4.219276393065972,4.210435681074565,4.271143932005016,4.368380137984647,4.4916934436316405,4.269591623985859,0.0,4.229330930389727,4.259944495837188,4.538524686290606,4.73407802600867,4.212095676411486,4.376188929615367,4.322623385226897,4.703464474456841,3.9570909347542256,4.286519669255826,4.801415650806135,4.126689636893718,4.348213817342495,0.0,4.367213114754098,4.440940855633203,0.0,4.296293347135406,4.269842013970278,4.809801633605601
Creative Winger,5.802509053285049,5.6195259770836605,5.1490505797344985,5.557737689858882,5.387650355266144,5.4861518825781745,5.084042553191489,5.330539952061186,5.265375084478486,5.551509533898305,5.739290335762447,5.6727463199742125,5.518935192520995,5.35946578787616,5.503925472371436,5.986769570011025,4.854771784232366,4.672574346650646,4.972837158766807,5.423234786746773,5.391135868248971,5.449396267837541,5.541639941937008,5.825541054022798,5.588865096359743,5.502603453000822,5.6187200144835705,5.178609625668449,4.8928238583410995
