,Advanced Playmaker,Anchor Man,Attacking Fullback,Balanced Fullback,Ball Playing CB,Ball Winning Midfielder,Box to Box Midfielder,Complete Forward,Conservative,Creative Winger,Deep Playmaker,Defensive Fullback,Defensive Winger,Direct Winger,Enforcer,False 10,Holding Midfielder,Libero,Playmaker,Poacher,Positional Midfielder,Second Striker,Shot Stopper,Stopper,Sweeper,Sweeper Keeper,Target Man,Wide Playmaker,Wide Supporter
Advanced Playmaker,37.575356953992596,41.59007158287094,40.929992092938384,42.85600847008999,41.665608734289705,40.235174593618304,37.3286991062562,43.23453198163386,41.80842045775643,44.06880496637351,41.66130447499269,39.46444392632315,39.8911038113666,41.27593507410021,39.64566516406332,42.095212479827865,42.90275911956185,49.79206049149338,40.025762821028906,41.31422189128816,40.73141629877103,0.0,41.109161109161114,42.25666460012399,39.2464813369574,39.55907906168549,38.90252166779612,39.617151607963244,38.49441873128233
Anchor Man,34.785463170824684,32.586831165347995,33.220262146447226,34.85854567503216,35.54253284806613,32.12245293533302,34.791734594065865,35.390073376713275,38.0350077928306,38.64448281274525,34.494954348870735,33.0545226155702,31.945466969383034,34.37946327895963,33.21749550629119,33.69029567854435,30.841982166349947,38.17116347210353,32.44072838727126,33.94995898277276,37.90952570745317,36.21132916273888,31.205346343036855,30.890431187241585,34.353019645888914,33.64099240881318,32.16582736067869,31.801312910284466,32.49161840902164
Attacking Fullback,35.13563651845995,32.59406721198384,43.31469528670069,36.12327398975887,37.38616822429906,32.5301397064038,38.06235237114651,40.77680871641689,42.90139790636738,42.55150394891615,40.469344676495986,32.92839711921909,34.04514195027332,39.82346368715084,31.57314862163544,33.3484550201147,36.62090447623443,46.915848388748636,44.283494781185155,34.318237815995666,41.42248148979134,41.95490481639447,31.46546680890602,29.834606599984248,35.78049286999861,39.212505646000665,35.01776441650724,39.151628245681906,31.153846153846153
Balanced Fullback,35.36692694547379,35.197947322498116,39.795811601325326,35.293637106290284,36.9260153850193,35.37117903930131,35.82457593860376,37.61501542377825,42.27484070948855,37.83366857251461,37.15998969215216,34.165361142937314,34.65843418995591,37.68679297984265,34.60974364943635,33.58201674751362,34.51671790930054,45.66280566280566,42.53787203707004,33.850162866449516,37.23181416055478,39.365769609451924,33.4598631755094,32.42983406831602,37.953630633970654,34.36105296768014,35.56518467586046,36.515795868772784,34.69229164493585
Ball Playing CB,37.601878887901485,34.58947628153722,36.096128170894524,33.4100396439917,35.22034791776489,32.42043352464071,33.51217854310638,35.86769535526247,37.71798801727741,36.68127302246818,36.62968920005677,32.774444503650024,35.26264353774737,37.326793090499436,30.42998457692921,33.28384141525825,31.28357822512784,41.32921515636203,36.37321549966009,33.00895836992798,35.77670572019297,34.857050295618365,30.009065987437133,26.574819260673852,35.27480151083019,35.787911196341646,34.27342537855726,30.765079560873318,30.414615675880352
Ball Winning Midfielder,39.11762492474413,37.3886075642672,37.41915466988157,38.96771802207731,39.11966987620358,32.967768092438675,32.962801420649264,37.89990900818926,46.49985424157031,42.7910657306956,38.78655342521487,34.96110348434333,36.393738125010145,37.712620569698885,33.81919817274749,30.433072462592758,31.9211125952699,54.96848266546601,36.77013902113883,35.166927017110474,39.341386375277445,42.465099191770754,33.19238676304795,34.39068923971233,36.88307702248643,37.17930029154519,35.94632049820191,36.02883176934584,30.530520352953992
Box to Box Midfielder,38.27606752730884,37.062275839582654,40.64063351704924,38.02620677626128,41.838223632038066,33.91613184622095,37.21532272170719,40.40220564385339,41.12976003281602,39.172340425531914,39.73696571160169,37.13764506125198,38.41538059115877,39.661909560807516,35.84130522902311,36.544221531506075,38.84039431108435,42.509179078628335,40.32538843244122,37.04486848891181,41.6060174832283,41.67954413753139,37.89542642241902,35.99928974470268,37.11368880830724,36.379911429379064,37.88053451885549,38.796898300029824,38.96190803019904
Complete Forward,26.41860253670955,26.653918039595737,27.767915985518286,27.03014928803132,28.486550591669708,26.29517743403094,27.365518889666593,29.829760403530894,29.574400580156826,28.075494483376943,28.537418655097614,27.156994168324527,24.488851763798753,28.74340931809718,27.233426069564995,23.78914169858076,29.919082939986517,31.337447320891027,28.36782420685699,29.54459203036053,27.389240506329113,27.61270706647096,25.67846795504473,24.808498741962538,26.502714079982272,26.410071178157867,29.063894558411455,26.642352313641815,29.106362311801846
Conservative,12.244984458886693,12.156815729528832,12.770513598285854,11.486137420354746,11.704890622822909,11.447867068312119,11.715320981746085,12.16017767302724,0.0,12.864383870241046,11.919518963922295,11.631288847191277,12.949316438812938,12.863810202891035,10.710805920289518,11.149387214309375,11.824721080446272,12.978051448533822,13.000501127536959,11.643727880456154,12.380068910681155,13.002150763258669,0.0,10.131147540983607,12.277782512357252,0.0,11.795994744595294,10.25690309877643,10.585764294049008
Creative Winger,42.474133471288155,44.20750274682153,48.671483784237935,42.74141180569854,43.97479094289555,42.366049776643266,44.013829787234044,49.02878158564031,51.149357963505295,48.17796610169491,46.439419737110946,44.10913828301278,42.254793218190464,47.62119503945885,43.36538822733932,39.294377067254686,40.81813199718155,52.88975668368879,51.103490425098464,41.67271429421212,46.422257205134414,45.527552140504945,41.89953752152044,40.83826201883364,44.981469280184484,42.14140860509729,42.41604055399656,44.93262032085562,47.13886300093196
