,Advanced Playmaker,Anchor Man,Attacking Fullback,Balanced Fullback,Ball Playing CB,Ball Winning Midfielder,Box to Box Midfielder,Complete Forward,Conservative,Creative Winger,Deep Playmaker,Defensive Fullback,Defensive Winger,Direct Winger,Enforcer,False 10,Holding Midfielder,Libero,Playmaker,Poacher,Positional Midfielder,Second Striker,Shot Stopper,Stopper,Sweeper,Sweeper Keeper,Target Man,Wide Playmaker,Wide Supporter
Advanced Playmaker,3782.0,23609.0,32882.0,30224.0,23631.0,26576.0,15105.0,21997.0,14156.0,15464.0,10257.0,42890.0,22223.0,21255.0,19078.0,3718.0,9677.0,1587.0,12421.0,5372.0,16762.0,0.0,25641.0,33873.0,37159.0,13812.0,28037.0,5877.0,3673.0
Anchor Man,23609.0,7457.0,50735.0,67619.0,48633.0,41273.0,24536.0,57784.0,25023.0,31855.0,10405.0,100307.0,45368.0,39909.0,51739.0,10552.0,20523.0,8191.0,22186.0,21942.0,15054.0,11669.0,49604.0,60948.0,49476.0,32406.0,47857.0,34275.0,13124.0
Attacking Fullback,32882.0,50735.0,39972.0,63079.0,93625.0,56404.0,66044.0,116837.0,77473.0,89265.0,62534.0,67204.0,51039.0,80550.0,64533.0,11683.0,34672.0,111311.0,95903.0,20293.0,66855.0,38452.0,58118.0,38091.0,86676.0,50921.0,65862.0,43943.0,12324.0
Balanced Fullback,30224.0,67619.0,63079.0,33051.0,76178.0,86333.0,45866.0,113137.0,52263.0,63139.0,50447.0,85534.0,56929.0,64443.0,111683.0,36901.0,31224.0,34965.0,50499.0,36840.0,70082.0,36564.0,81272.0,107032.0,75524.0,56374.0,77081.0,59256.0,19174.0
Ball Playing CB,23631.0,48633.0,93625.0,76178.0,28455.0,63249.0,44135.0,76732.0,35885.0,57281.0,42278.0,93835.0,49116.0,63912.0,37606.0,18993.0,15449.0,18131.0,41188.0,22772.0,43530.0,24694.0,46327.0,21993.0,38919.0,54232.0,50917.0,32428.0,15846.0
Ball Winning Midfielder,26576.0,41273.0,56404.0,86333.0,63249.0,24665.0,16049.0,82425.0,20582.0,39175.0,19663.0,137673.0,61579.0,44269.0,99822.0,24661.0,12727.0,8884.0,15753.0,27527.0,23428.0,24498.0,75395.0,80509.0,61904.0,49392.0,57005.0,66177.0,27539.0
Box to Box Midfielder,15105.0,24536.0,66044.0,45866.0,44135.0,16049.0,17151.0,58577.0,29254.0,28200.0,29806.0,71263.0,19115.0,30761.0,49340.0,7078.0,13289.0,28870.0,24586.0,17451.0,19676.0,10354.0,41215.0,25343.0,48536.0,21226.0,38689.0,16765.0,5828.0
Complete Forward,21997.0,57784.0,116837.0,113137.0,76732.0,82425.0,58577.0,21414.0,66189.0,54653.0,55320.0,117119.0,46689.0,51019.0,77999.0,13317.0,26694.0,66440.0,67989.0,10540.0,60673.0,28614.0,62818.0,71540.0,81243.0,47065.0,28907.0,74990.0,18531.0
Conservative,14156.0,25023.0,77473.0,52263.0,35885.0,20582.0,29254.0,66189.0,0.0,44390.0,25944.0,34108.0,11996.0,30854.0,21553.0,3019.0,6812.0,56678.0,47892.0,7629.0,37730.0,19063.0,0.0,13725.0,46936.0,0.0,25117.0,21331.0,4285.0
Creative Winger,15464.0,31855.0,89265.0,63139.0,57281.0,39175.0,28200.0,54653.0,44390.0,22657.0,44049.0,74456.0,18933.0,34593.0,53242.0,13605.0,12773.0,39948.0,44178.0,16811.0,49548.0,22775.0,29623.0,30265.0,48568.0,36490.0,33141.0,4675.0,3219.0
