,Advanced Playmaker,Anchor Man,Attacking Fullback,Balanced Fullback,Ball Playing CB,Ball Winning Midfielder,Box to Box Midfielder,Complete Forward,Conservative,Creative Winger,Deep Playmaker,Defensive Fullback,Defensive Winger,Direct Winger,Enforcer,False 10,Holding Midfielder,Libero,Playmaker,Poacher,Positional Midfielder,Second Striker,Shot Stopper,Stopper,Sweeper,Sweeper Keeper,Target Man,Wide Playmaker,Wide Supporter
Advanced Playmaker,12.945531464833422,11.138972425769833,12.2565537376072,14.022300158814188,7.198171892852609,11.923916315472606,11.618669314796424,12.581261081056509,1.805594800791184,14.677961717537505,13.828604855220824,10.475169037071579,11.938982135625253,11.479181369089625,4.981654261452983,12.393760086067777,13.243773896868863,7.655954631379962,13.810482247806135,10.722263588979896,11.071471184822814,0.0,2.0884520884520885,4.628465149233903,5.560967733254393,2.899652476107732,11.626778899311624,12.22052067381317,8.527089572556493
Anchor Man,11.138972425769833,10.282955612176478,10.113136887750073,10.357739688549078,10.289309727962495,11.064376226588811,10.934545158134986,6.907621486916794,2.291092195180434,10.213467273583426,14.540124939932726,9.628340993151026,7.9966055369423374,7.015710741937909,8.375693384100968,7.880970432145565,9.13462944014033,11.833719936515688,12.319931488325972,5.869565217391304,12.841769629334397,11.407147142000172,1.9794774614950408,7.290313053750738,9.195367450885279,3.521570079614886,6.4278997847754775,9.518599562363239,6.2884791222188365
Attacking Fullback,12.2565537376072,10.113136887750073,4.1609126388471935,3.565528939900759,9.531108144192258,11.584284802496276,11.806674338319908,9.735101038198517,3.3154776502781615,14.788774995799026,15.667316979563118,2.7159097672757575,10.754716981132075,11.003351955307263,7.066617079633676,9.113241461953265,10.749019381633595,13.30542354304606,16.0774949688748,7.756861972108609,13.149652232443348,14.209663996671175,2.91906122027599,5.743876506261321,10.015921362314828,4.475167416193712,9.324952172724789,11.897458070682475,13.809639727361247
Balanced Fullback,14.022300158814188,10.357739688549078,3.565528939900759,2.88372515203776,8.448502192233978,11.349426059560077,11.280905245715783,9.80846230676083,2.831065954882039,13.771044837580577,14.721985450076318,4.143615404400589,11.826836937237612,10.640566081653555,7.639479598506487,9.816807132598033,9.849154496541122,12.293436293436292,14.892176082694705,7.978827361563518,11.114836905339459,12.573022645224812,2.807239885815533,5.99792585395022,7.023727556803135,3.72778231099443,9.24507985106576,13.794046172539488,8.913633044748098
Ball Playing CB,7.198171892852609,10.289309727962495,9.531108144192258,8.448502192233978,13.43278861360042,9.65042925579851,7.80604962048261,4.267059375488714,7.366030374808416,5.161397321974127,14.83750413926865,9.661320402834763,4.580991937454191,4.149924896733008,11.11897037706749,5.359342915811088,7.433490840831121,16.77789421432905,10.438234437214723,4.149833128403302,12.690558235699518,6.676925568964122,5.577524985429664,7.807938889646707,15.294843135743466,10.88158282932586,4.6628827307186205,5.781115085728382,5.54903445664521
Ball Winning Midfielder,11.923916315472606,11.064376226588811,11.584284802496276,11.349426059560077,9.65042925579851,9.293736063247517,9.667892080503458,8.53867151956324,1.6791371100962005,11.815443522654755,14.633067182016985,9.165195790024189,9.44591500349145,8.359800311730558,7.01809220412334,8.641985320952111,8.952620413294571,14.567762269248087,12.494762902304323,6.679623642242162,11.601502475670138,12.759000734753856,1.7368525764307978,6.504987020084711,9.44139312483846,2.614795918367347,7.469344794316289,10.174078607371142,7.840153963469988
Box to Box Midfielder,11.618669314796424,10.934545158134986,11.806674338319908,11.280905245715783,7.80604962048261,9.667892080503458,7.67185586846248,9.777899175444286,2.0151090449169344,12.035106382978723,14.161578205730391,10.401470608871364,12.180486528904002,10.919020838074184,5.729428455614106,8.506640293868324,8.309880352170968,9.143401454797367,12.361913283982753,8.411552346570396,12.757166090668834,14.829051574270812,2.463180880747301,5.8951189677623015,5.918905554639855,2.760293979082258,8.57220398562899,11.638532657321802,9.929649965682911
Complete Forward,12.581261081056509,6.907621486916794,9.735101038198517,9.80846230676083,4.267059375488714,8.53867151956324,9.777899175444286,12.133650882600168,3.331369260753297,13.70921998792381,11.297180043383948,8.022609482662933,10.415087065475808,11.286383504184714,3.4927370863729026,10.319891867537732,9.430209035738368,5.893889223359422,11.646295724308345,11.08349146110057,6.860547525258352,14.301740406793877,5.015919004107103,2.921162985742242,3.435249806137144,5.065547646871348,12.930086138305601,11.457927723696494,9.878581835842642
Conservative,1.805594800791184,2.291092195180434,3.3154776502781615,2.831065954882039,7.366030374808416,1.6791371100962005,2.0151090449169344,3.331369260753297,0.0,1.6767289930164453,2.5948196114708604,3.6967866776122906,2.1757252417472492,2.3306540480974913,5.445181645246602,3.130175554819477,1.928948913681738,9.019372596069022,1.93748433976447,3.7514746362563898,2.5857407898224225,1.5155012327545507,0.0,5.029508196721312,7.2730952786773475,0.0,4.9806903690727395,1.780507242979701,2.457409568261377
Creative Winger,14.677961717537505,10.213467273583426,14.788774995799026,13.771044837580577,5.161397321974127,11.815443522654755,12.035106382978723,13.70921998792381,1.6767289930164453,14.21679834046873,15.409657426956345,11.266922746319974,11.380129931864998,9.800537681033735,4.454190300890275,11.08710033076075,10.851013857355358,7.130519675578251,17.497623251392096,9.417048361192077,11.205497699200775,16.89747530186608,2.220909428484623,3.984800925161077,4.810574864108054,2.6933406412715812,11.313478772517424,12.24385026737968,8.499534016775396
