,Advanced Playmaker,Anchor Man,Attacking Fullback,Balanced Fullback,Ball Playing CB,Ball Winning Midfielder,Box to Box Midfielder,Complete Forward,Conservative,Creative Winger,Deep Playmaker,Defensive Fullback,Defensive Winger,Direct Winger,Enforcer,False 10,Holding Midfielder,Libero,Playmaker,Poacher,Positional Midfielder,Second Striker,Shot Stopper,Stopper,Sweeper,Sweeper Keeper,Target Man,Wide Playmaker,Wide Supporter
Advanced Playmaker,0.7852987837123215,0.19060527764835444,0.38592543032662247,0.40199841185812596,0.23232194998095723,0.30139975918121614,0.5600794438927508,1.219257171432468,0.0,1.3502327987584066,0.5440187189236619,0.26439729540685475,0.6520271790487333,0.8299223712067748,0.2783310619561799,0.8956428187197418,0.5859253901002377,0.0,0.5941550599790677,0.8041697691734921,0.22551008232907768,0.0,0.01053001053001053,0.21255867505092552,0.1937619419252402,0.006516072980017376,1.1331454863216464,0.781010719754977,0.6370814048461748
Anchor Man,0.19060527764835444,0.06034598363953333,0.0833743963733123,0.12910572472234136,0.024057738572574178,0.0872240932328641,0.1357189435930877,0.25076145645853526,0.0,0.29948202793909906,0.18164344065353194,0.058320954669165655,0.1864750484923294,0.1781553033150417,0.015655501652525175,0.12793783169067477,0.1403303610583248,0.010987669393236478,0.18254755251059226,0.184577522559475,0.10761259465922678,0.3470734424543663,0.0,0.0383933845245127,0.027285956827552756,0.0027772634697278285,0.2031050838957728,0.2336980306345733,0.13715330691862238
Attacking Fullback,0.38592543032662247,0.0833743963733123,0.2206544581206845,0.23684585995339177,0.07113484646194927,0.16435004609602155,0.2698201199200533,0.9682720371115315,0.0011616950421437146,0.4809275751974458,0.1971727380305114,0.1232069519671448,0.417915711514724,0.6424581005586593,0.041839059086049,0.4776170504151331,0.30370327641901246,0.0840887243848317,0.2439965381687747,0.8337850490316858,0.11981153242091092,0.45407261000728183,0.0015485735916583503,0.08505946286524375,0.06333933268724906,0.0017674436872802972,1.0959278491391091,0.4198620940764172,0.3067185978578384
Balanced Fullback,0.40199841185812596,0.12910572472234136,0.23684585995339177,0.17972224743578105,0.042531964609204755,0.12718195823149897,0.2747132952513845,0.83606600846761,0.0034441191665231614,0.4960484011466764,0.15878050230935437,0.11784787336030117,0.36361081346940927,0.5488571295563521,0.04351602302946733,0.49754749193788783,0.2824750192159877,0.09523809523809525,0.29406522901443594,0.8721498371335505,0.09374732456265517,0.4258286839514276,0.0011073924598877841,0.04372524104940578,0.03575022509400985,0.0,0.9656076075816349,0.38578371810449574,0.384896213622614
Ball Playing CB,0.23232194998095723,0.024057738572574178,0.07113484646194927,0.042531964609204755,0.02214022140221402,0.06260968552862496,0.067293531211057,0.12550174633790334,0.0,0.1759745814493462,0.14262737120961255,0.03452869398412106,0.13193256779868068,0.10702215546376266,0.01914588097643993,0.0710788185120834,0.06408181759337174,0.004963874027908002,0.17699329901913177,0.08694888459511681,0.01447277739490007,0.182230501336357,0.0,0.01636884463238303,0.01849996145841363,0.0,0.13433627275762516,0.1665227581102751,0.11359333585762968
Ball Winning Midfielder,0.30139975918121614,0.0872240932328641,0.16435004609602155,0.12718195823149897,0.06260968552862496,0.13500912223798905,0.20188173717988658,0.4007279344858963,0.0,0.4204211869814933,0.18766210649443119,0.0601425116035824,0.28353821919810324,0.2947886783076193,0.047785057402175875,0.2554640931024695,0.11314528168460752,0.020261143628995948,0.23424109693391734,0.26156137610346203,0.10756359911217347,0.39309331373989714,0.001193713110949002,0.030182960911202473,0.049431377616955284,0.0,0.3126041575300412,0.3087175302597579,0.26471549438977454
Box to Box Midfielder,0.5600794438927508,0.1357189435930877,0.2698201199200533,0.2747132952513845,0.067293531211057,0.20188173717988658,0.4880181913591044,0.7666831691619578,0.0,0.6893617021276596,0.25364020666979803,0.16039178816496638,0.5273345540151713,0.6173401384870453,0.06019456830158087,0.21616275784119807,0.36571600571901575,0.12469691721510219,0.38802570568616285,0.7632800412583806,0.10977841024598496,0.8083832335329341,0.0,0.028410211892830366,0.06675457392450963,0.0,0.6164542893328853,0.5636743215031316,0.5404941660947151
Complete Forward,1.219257171432468,0.25076145645853526,0.9682720371115315,0.83606600846761,0.12550174633790334,0.4007279344858963,0.7666831691619578,1.5592602970019613,0.006798712777047545,1.6978024994053391,0.574295010845987,0.5125556058367985,1.1893593780119516,1.478272800329289,0.11192451185271605,0.8988510925884208,0.7080242751180041,0.2099638771824202,0.8749944844018885,1.1612903225806452,0.21063735104576994,1.4751520234850073,0.008596262217835653,0.059127760693318425,0.08640744433366568,0.007648996069265909,1.4290656242432627,1.3309774636618217,0.932491500728509
Conservative,0.0,0.0,0.0011616950421437146,0.0034441191665231614,0.0,0.0,0.0,0.006798712777047545,0.0,0.004054967334985357,0.006938020351526364,0.0,0.0,0.011667855059311597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003583230481347295,0.0,0.0
Creative Winger,1.3502327987584066,0.29948202793909906,0.4809275751974458,0.4960484011466764,0.1759745814493462,0.4204211869814933,0.6893617021276596,1.6978024994053391,0.004054967334985357,1.3187977225581498,0.5761765306817408,0.3154883421080907,0.8699096815084773,1.2800277512791605,0.1960857969272379,0.8136714443219405,0.5495968057621545,0.2365575247822169,0.7374711394811898,1.4454821247992387,0.248849600387503,0.9839736553238201,0.0030381797927286234,0.21708243846026762,0.23163399769395487,0.007399287476020827,1.5832352674934371,0.8085561497326202,1.0065237651444547
