,Advanced Playmaker,Anchor Man,Attacking Fullback,Balanced Fullback,Ball Playing CB,Ball Winning Midfielder,Box to Box Midfielder,Complete Forward,Conservative,Creative Winger,Deep Playmaker,Defensive Fullback,Defensive Winger,Direct Winger,Enforcer,False 10,Holding Midfielder,Libero,Playmaker,Poacher,Positional Midfielder,Second Striker,Shot Stopper,Stopper,Sweeper,Sweeper Keeper,Target Man,Wide Playmaker,Wide Supporter
Advanced Playmaker,4.783183500793231,4.677453513490618,4.6694240009731764,4.9311805187930124,3.9951758283610515,4.968016255267911,4.873882820258193,5.118425239805428,5.079824809268155,5.214692188308329,5.238373793506874,4.86616927022616,4.466993655222067,4.66196189131969,4.939196980815599,4.72027972027972,5.589542213495918,2.9489603024574667,4.95612269543515,4.355919583023082,4.869943920773178,0.0,5.219375219375219,5.420246213798601,4.810140208294087,3.909643788010426,4.526161857545387,4.318529862174579,4.288047917233868
Anchor Man,1.3494853657503494,1.6836529435429797,1.3268946486646298,1.32699389224922,1.212139905002776,1.3345286264628207,1.302168242582328,1.3270109372836771,1.3091955401031052,1.381572751530372,1.2282556463238827,1.4302092575792318,1.3172570370533647,1.4613245132676838,1.2820116353234503,1.1514404852160727,1.5085513813769917,1.3185203271883774,1.2210402956819615,1.4930270713699754,1.5185332801913112,1.6813780101122633,1.4097653415047173,1.5549320732427645,1.4243269463982535,1.4275134234401037,1.352153290009821,1.299781181619256,1.268668088997257
Attacking Fullback,1.587494677939298,1.7295752439144576,1.8856949864905435,1.8619508869829895,1.6534045393858479,1.7727466137153394,1.8206044455211678,1.8556621618151783,1.9365456352535724,1.723071752646614,1.7155467425720408,1.7275757395393132,1.6046552636219362,1.735195530726257,1.6359072102645158,1.5484036634426088,1.7443470235348408,2.069876292549703,1.924757306862142,1.7695757157640568,1.846982275072919,1.9099136585873295,1.632196565607901,1.866582657320627,1.761041118648761,1.7002808271636456,1.8229024323585679,1.747035932913092,1.497078870496592
Balanced Fullback,2.7276336686077287,2.7711146275455123,3.2216744082816784,2.6372878279023326,2.758670482291475,2.611400044015614,3.108184711987093,2.6999124954700937,3.101429309454107,2.5728947243383646,2.6832120839693143,2.666308134776814,2.551599360607072,2.678646245519296,2.676235416312241,2.5048101677461316,3.095695618754804,3.8893178893178897,2.970949919800392,2.80700325732899,2.6531777061156934,2.778962914341976,2.7374741608426025,2.5562448613498767,2.761109051427361,2.417071699719729,2.789403354912365,2.4984811664641553,2.5910086575571087
Ball Playing CB,0.8226482163260125,0.8938375177348713,0.822857142857143,0.9735094121662422,0.9868212967843963,0.9547977043115307,0.9135606661379858,0.8339415107126101,0.8727880730110075,0.971002601211571,0.9068546288849993,0.8766451750412959,0.9290251649157097,0.8561772437101013,1.1487528585863958,0.9951034591691676,0.8738429671823419,0.7247256080745684,0.9090026221229485,1.023625505006148,0.9510682288077188,0.9986231473232363,1.0393507026140263,1.1785568135315783,0.8556232174516303,0.87955450656439,0.9880786377830587,0.9242013075120267,0.9996213555471412
Ball Winning Midfielder,1.926926550270921,2.2002277517989968,2.1413374937947665,2.221514368781347,2.2653322582175215,1.943036691668356,1.8337591127173034,2.2231119199272067,2.444368865999417,2.4673899170389277,2.215328281544017,2.0069294632934565,1.9438444924406046,1.8398879577130725,2.143114744244756,1.8064960869388913,1.8315392472695842,2.856821251688429,1.885355170443725,2.197115559269081,2.6237835069148026,2.0315944158706833,1.9624643544001592,2.0893316275199045,1.9234621349185834,2.09365889212828,2.082448907990527,2.180062559499524,2.006608809324957
Box to Box Midfielder,2.871896722939424,3.6167264427779586,3.784295318272667,3.6968560589543453,3.6664778520448627,2.927285189108356,3.5840475774007348,3.91023780664766,4.2055787242770215,3.022340425531915,3.692880628061464,3.364438769066697,3.328799372220769,3.5197165241702155,3.234089987839481,2.403221248940379,3.711340206185567,4.719778316591618,3.455625152525828,3.733883445074781,3.874263061597886,4.2853003670079195,3.262404464394031,3.1712899025371897,3.476800725234877,3.1927824366343165,3.4242291090490835,3.74709215627796,3.1194234728894994
Complete Forward,5.2861753875528485,5.199017028935345,5.448359680580638,4.983780726022433,5.3308919355679505,4.832757051865332,5.168581525171996,5.044136191677175,5.600779585731768,5.878908751578138,5.35412147505423,4.997225044612744,4.761292809869563,5.5003038083851115,4.767753432736317,5.129533678756477,5.674308833445718,5.889825406381698,5.366456338525349,4.670777988614801,5.34464003164557,4.859509331096666,4.935687223407304,5.179340229242382,4.967320261437909,4.868585998087751,5.162071470578061,5.16548873183091,4.822729480330257
Conservative,0.0445040972025996,0.0143867641769572,0.025557290927161722,0.022386774582400553,0.022572105336491573,0.026236517345253133,0.009229507075955424,0.021755880886552146,0.0,0.02635728767740482,0.01734505087881591,0.02638677143192213,0.015005001667222406,0.017501782588967396,0.020878763977172553,0.029811195760185493,0.013211978860833822,0.01587917710575532,0.033826108744675516,0.023594180102241447,0.026239067055393587,0.03776950112783927,0.0,0.013114754098360656,0.028762570308505202,0.0,0.03224907433212565,0.021096057381276078,0.042007001166861145
Creative Winger,5.802509053285049,6.280646680269973,7.117123172576037,5.966835078160884,6.570765175188981,5.924952137843012,6.536170212765957,7.090919071231223,7.150934895246676,6.802833686440678,6.811959408840155,6.385919200601697,5.504674378070037,6.454774087243084,5.620562713647121,5.226019845644983,5.474829718938386,8.049714629017723,7.6782561455928295,6.290524061626316,6.680794381206104,7.018221734357848,5.936603314991729,5.807698661820584,6.667352989622797,6.378185804329954,5.990766723997465,6.583957219251337,5.75955265610438
Deep Playmaker,2.456858730622989,2.7765497357039886,2.386221895288963,2.180109818225068,2.3629310752637305,2.2702537761277526,2.047238810977656,2.3036876355748372,2.591350601295097,2.5539739835183544,2.965909090909091,2.385550511656536,1.9227272727272726,1.8732045288120318,2.224396411584081,2.0411055988660527,1.7390663028246922,1.985272838354931,1.3746687125122055,2.0755287009063443,2.9666897987508674,2.9402189166432784,2.0900504225552163,2.3391595388620305,2.2977928457759633,2.1988388969521044,2.3849516797054764,2.285565101818009,2.5608077099586963
Defensive Fullback,1.3261832595010492,1.2597326208539783,1.374025355633593,1.2268805387331352,1.4022486279106943,1.1198274171406157,1.2768196679904018,1.2825416883682408,1.2982291544505686,1.2087675942838725,1.324344079402939,1.2059014568061612,1.3415319589019536,1.4388349514563108,1.1865435178318613,1.0744236524484494,1.3871425674305415,1.3736806135621535,1.3915659188013718,1.2803708439897699,1.4534573923023322,1.2148060056488776,1.3210373159876754,1.280335990745165,1.351979825107261,1.1970015468210842,1.2127540206956737,1.1734427257525084,1.018756346693746
