,Advanced Playmaker,Anchor Man,Attacking Fullback,Balanced Fullback,Ball Playing CB,Ball Winning Midfielder,Box to Box Midfielder,Complete Forward,Conservative,Creative Winger,Deep Playmaker,Defensive Fullback,Defensive Winger,Direct Winger,Enforcer,False 10,Holding Midfielder,Libero,Playmaker,Poacher,Positional Midfielder,Second Striker,Shot Stopper,Stopper,Sweeper,Sweeper Keeper,Target Man,Wide Playmaker,Wide Supporter
Advanced Playmaker,1.136301082303704,1.232118549386261,1.155995820614181,1.2450344182558974,1.2505082879181801,1.270811623481563,1.2468542850512694,1.2046799290470775,1.001063728313636,1.0852022357136797,1.4452517994499998,1.3179720505128847,1.2745100787220338,1.325003586313558,1.3534670010624474,1.5149644511555553,1.373212255565385,1.169980011157143,1.0243534219437502,1.4272587709962954,1.1791503050556558,0.0,1.3346473132179237,1.315989013398831,1.1310847632600824,1.3099029544538014,1.2421948794283018,1.4345675924038452,1.333306972456863
Anchor Man,1.232118549386261,1.2385555948557898,1.2578000538583458,1.2975553300277327,1.2284126001045454,1.3721671733723988,1.2856471926383173,1.2605333114370258,1.0087366286606778,1.1965982050330102,1.3197398163305964,1.3425927256795018,1.2721146120304199,1.3130579343382296,1.2542112705988788,1.3652351690634483,1.4622764741359064,1.1283282551101006,1.0989231684898555,1.4003481586843,1.3079926938540405,1.3612936516296044,1.3948883542608528,1.3514402563835153,1.2979043652489854,1.3484091073907887,1.2524083215089274,1.333460688403937,1.4684101452856353
Attacking Fullback,1.155995820614181,1.2578000538583458,1.0078558893495848,1.153141418152405,1.213006835232511,1.2981660363118401,1.1148684586404858,1.0880498883350735,0.910129616580291,1.034840573718079,1.0935050055181474,1.3172390725714291,1.2668561299718255,1.1629373600251947,1.313538412862119,1.3889873809202613,1.2299670962178488,0.9112235371695155,1.0041395879994996,1.2717740750485498,1.114378016565327,1.1000870017320994,1.3886073482956718,1.314125937233781,1.1716308837060558,1.206647207686691,1.2188012167409639,1.1490542174159932,1.444248361326708
Balanced Fullback,1.2450344182558974,1.2975553300277327,1.153141418152405,1.2418034386277916,1.2690192445663788,1.2566858679183,1.2551760786477892,1.1421859021759047,0.9879605047931157,1.188773247102082,1.1937229017831703,1.3569625605024733,1.2569751246632082,1.2982851164961804,1.292537982399102,1.3918608248586493,1.4130254530739337,1.0029719017323946,1.1768704380886992,1.4156282486637848,1.2206653317040377,1.2188573425717342,1.3843959462571893,1.2967467051257402,1.184887137596938,1.2872629666202748,1.2472185385191994,1.181306902012484,1.3668603875080148
Ball Playing CB,1.2505082879181801,1.2284126001045454,1.213006835232511,1.2690192445663788,1.2160468420342265,1.3275682344339679,1.1701843438787825,1.203893739682797,1.0499434825958431,1.1867017186237048,1.241224502263096,1.2850729050699905,1.345829936488462,1.2276495765695383,1.3475336817774997,1.3113845392148766,1.2801526213934005,1.2097601164150225,1.2048443314731472,1.3917089387903012,1.2714280887470044,1.3327240828514657,1.3487708043558697,1.374963631711832,1.2584859062244553,1.2749577800054495,1.2542845864094188,1.2585617740606787,1.3085265990720585
Ball Winning Midfielder,1.270811623481563,1.3721671733723988,1.2981660363118401,1.2566858679183,1.3275682344339679,1.3984311621622616,1.3122043020818595,1.3028854245092443,1.0320000849595998,1.2373334143003911,1.3512527796211535,1.3981051201440744,1.440323087865012,1.4035557258616669,1.3099252183746943,1.3658686216147502,1.3315111474000008,1.1369726887449543,1.333096541957711,1.4585105354205876,1.2888611548006754,1.360840174474515,1.3573539823129284,1.3259550038476016,1.3660067737176091,1.3887809659662158,1.2763174031765414,1.2099724689295785,1.349755363789487
Box to Box Midfielder,1.2468542850512694,1.2856471926383173,1.1148684586404858,1.2551760786477892,1.1701843438787825,1.3122043020818595,1.1181216130913032,1.1180178886103778,0.9865780612806735,1.152313001453906,1.1369678703789334,1.2746186164269944,1.2553721581567565,1.2619701616189116,1.321801468213344,1.4104696828979804,1.3103913733546448,0.8838091515042503,1.1474600850891727,1.2804815132412957,1.2221344512807835,1.196086738356834,1.3129142568747543,1.273060982040704,1.2065365070952314,1.2895658848857132,1.1950024041882452,1.1791430431311114,1.3157429967731709
Complete Forward,1.2046799290470775,1.2605333114370258,1.0880498883350735,1.1421859021759047,1.203893739682797,1.3028854245092443,1.1180178886103778,1.1013533135376279,0.9561615904099995,1.0497970521251065,1.1264252905058323,1.3092526319679836,1.2871341602122983,1.1757441375946227,1.1767637127545345,1.3590984091808742,1.173142286872876,0.9407871502974448,1.0616747268920244,1.2558425381948717,1.1232852781005158,1.132997415818984,1.3365597786660899,1.2440101987773857,1.2352539932382482,1.2580795976502699,1.2189708107875328,1.1587950198803347,1.3676391785398405
Conservative,1.001063728313636,1.0087366286606778,0.910129616580291,0.9879605047931157,1.0499434825958431,1.0320000849595998,0.9865780612806735,0.9561615904099995,0.0,0.9558781620992681,0.923693873508497,1.0908270502516375,0.9639271342422814,0.9827138871393779,0.9893684028882592,1.066362850504878,0.916857525951724,0.897798777890062,0.9473773427446915,1.1016196065798074,1.0121105307091516,0.9686309610866951,0.0,1.0084778832222936,1.000677432926217,0.0,1.009967115826159,0.9480305616675476,1.0620004351237289
Creative Winger,1.0852022357136797,1.1965982050330102,1.034840573718079,1.188773247102082,1.1867017186237048,1.2373334143003911,1.152313001453906,1.0497970521251065,0.9558781620992681,1.1230098426996769,1.063620649431754,1.227656980753756,1.1760681474301529,1.0869369410875522,1.2643901680373872,1.224881592220212,1.2931249925228077,0.9202834536959098,0.9948941157405539,1.253557093069263,1.0798404834202475,1.1658589942874595,1.3365959559716254,1.220273153551015,1.0994627251810758,1.1551333317563581,1.2006552395644279,1.163028524208064,1.4013434509348834
